Flags;Threads;Nx;Time;Result
No flags;1;512;0.696592;0.232934
No flags;1;1024;5.75708;0.330034
No flags;1;2048;24.0413;0.467016
-O3;1;512;0.430052;0.232934
-O3;1;1024;4.28542;0.330034
-O3;1;2048;17.3615;0.467016
-fopenmp;1;512;0.694383;0.232934
-fopenmp;1;1024;5.74344;0.330034
-fopenmp;1;2048;24.0517;0.467016
-fopenmp;2;512;0.696804;0.232934
-fopenmp;2;1024;5.76633;0.330034
-fopenmp;2;2048;24.077;0.467016
-fopenmp;3;512;0.691987;0.232934
-fopenmp;3;1024;5.75828;0.330034
-fopenmp;3;2048;23.9771;0.467016
-fopenmp;4;512;0.70727;0.232934
-fopenmp;4;1024;5.77186;0.330034
-fopenmp;4;2048;24.0148;0.467016
-fopenmp;5;512;0.692211;0.232934
-fopenmp;5;1024;5.75251;0.330034
-fopenmp;5;2048;23.9766;0.467016
-fopenmp;6;512;0.695974;0.232934
-fopenmp;6;1024;5.77268;0.330034
-fopenmp;6;2048;24.0311;0.467016
-fopenmp -O3;1;512;0.431146;0.232934
-fopenmp -O3;1;1024;4.30604;0.330034
-fopenmp -O3;1;2048;17.3776;0.467016
-fopenmp -O3;2;512;0.438422;0.232934
-fopenmp -O3;2;1024;4.30132;0.330034
-fopenmp -O3;2;2048;17.3124;0.467016
-fopenmp -O3;3;512;0.430541;0.232934
-fopenmp -O3;3;1024;4.28229;0.330034
-fopenmp -O3;3;2048;17.3407;0.467016
-fopenmp -O3;4;512;0.430867;0.232934
-fopenmp -O3;4;1024;4.30083;0.330034
-fopenmp -O3;4;2048;17.3788;0.467016
-fopenmp -O3;5;512;0.432847;0.232934
-fopenmp -O3;5;1024;4.29834;0.330034
-fopenmp -O3;5;2048;17.3999;0.467016
-fopenmp -O3;6;512;0.431333;0.232934
-fopenmp -O3;6;1024;4.28518;0.330034
-fopenmp -O3;6;2048;17.3876;0.467016
